iter	Passed	Remaining
875	2057	291
876	2058	288
877	2059	286
878	2060	283
879	2063	281
880	2067	279
881	2069	276
882	2070	274
883	2071	271
884	2072	269
885	2073	266
886	2074	264
887	2075	261
888	2076	259
889	2080	257
890	2083	254
891	2085	252
892	2086	249
893	2087	247
894	2088	244
895	2089	242
896	2090	240
897	2094	237
898	2098	235
899	2099	233
900	2101	230
901	2102	228
902	2103	225
903	2104	223
904	2106	221
905	2110	219
906	2113	216
907	2116	214
908	2117	211
909	2119	209
910	2124	207
911	2130	205
912	2131	203
913	2133	200
914	2135	198
915	2142	196
916	2143	194
917	2145	191
918	2148	189
919	2150	187
920	2156	185
921	2158	182
922	2160	180
923	2161	177
924	2162	175
925	2174	173
926	2175	171
927	2176	168
928	2178	166
929	2179	164
930	2189	162
931	2190	159
932	2192	157
933	2193	154
934	2194	152
935	2195	150
936	2203	148
937	2207	145
938	2208	143
939	2210	141
940	2213	138
941	2217	136
942	2220	134
943	2221	131
944	2222	129
945	2223	126
946	2227	124
947	2231	122
948	2234	120
949	2235	117
950	2236	115
951	2238	112
952	2247	110
953	2249	108
954	2252	106
955	2264	104
956	2265	101
957	2266	99
958	2267	96
959	2269	94
960	2280	92
961	2282	90
962	2283	87
963	2285	85
964	2286	82
965	2290	80
966	2297	78
967	2298	75
968	2299	73
969	2300	71
970	2302	68
971	2307	66
972	2314	64
973	2315	61
974	2316	59
975	2318	57
976	2325	54
977	2327	52
978	2329	49
979	2330	47
980	2331	45
981	2332	42
982	2333	40
983	2339	38
984	2343	35
985	2344	33
986	2345	30
987	2347	28
988	2348	26
989	2352	23
990	2356	21
991	2359	19
992	2361	16
993	2362	14
994	2367	11
995	2372	9
996	2373	7
997	2374	4
998	2375	2
999	2376	0
